Date	Observation
1212	0.41409639
1209	0.49506024
1206	0.46570281
1203	0.23570281
1200	0.1362249
1197	-0.032208835
1194	-0.12285141
1191	-0.11502008
1188	-0.005903615
1185	0.044016064
1182	-0.12746988
1179	-0.17975904
1176	-0.18309237
1173	-0.1360241
1170	-0.16863454
1167	-0.23971888
1164	-0.38004016
1161	-0.32779116
1158	-0.3253012
1155	-0.093453815
1152	-0.083092369
1149	-0.10401606
1146	-0.065983936
1143	0.081124498
1140	0.098433735
1137	0.12771084
1134	0.45710843
1131	0.3451004
1128	0.54353414
1125	0.53092369
1122	0.17698795
1119	0.53261044
1116	0.16903614
1113	-0.30441767
1110	-0.16767068
1107	-0.010923695
1104	0.11594378
1101	0.32257028
1098	0.14879518
1095	0.084096386
1092	0.041084337
1089	0.078393574
1086	-0.063413655
1083	-0.053855422
1080	-0.17594378
1077	-0.38931727
1074	-0.58261044
1071	-0.6953012
1068	-0.6973494
1065	-0.65947791
1062	-0.53076305
1059	-0.082088353
1056	0.24674699
1053	0.22646586
1050	0.22578313
1047	0.12578313
1044	0.15437751
1041	0.24293173
1038	0.36032129
1035	0.41686747
1032	0.25281124
1029	-0.15232932
1026	-0.31746988
1023	-0.2215261
1020	-0.18586345
1017	-0.27983936
1014	-0.11405622
1011	-0.017068273
1008	0.11951807
1005	-0.043172691
1002	0.1053012
999	-0.15726908
996	-0.2202008
993	-0.082168675
990	-0.001606426
987	-0.12128514
984	-0.070481928
981	-0.061445783
978	-0.11365462
975	-0.12514056
972	0.062811245
969	0.032570281
966	0.25345382
963	0.31413655
960	-0.024738956
957	-0.38437751
954	-0.63506024
951	-0.74453815
948	-0.84269076
945	-0.55184739
942	-0.23140562
939	-0.29116466
936	-0.37084337
933	-0.17096386
930	0.058393574
927	-0.002771084
924	0.25590361
921	0.28485944
918	0.40381526
915	0.31373494
912	0.27401606
909	0.082771084
906	-0.030281124
903	0.057269076
900	0.07626506
897	0.15570281
894	0.40578313
891	0.40574297
888	0.48562249
885	0.53473896
882	0.57445783
879	0.70473896
876	0.79610442
873	0.84799197
870	0.40803213
867	0.27477912
864	-0.21710843
861	-0.38855422
858	-0.49967871
855	-0.55971888
852	-0.38863454
849	-0.27791165
846	-0.50690763
843	-0.39558233
840	-0.34453815
837	-0.35389558
834	-0.23329317
831	-0.092851406
828	-0.12361446
825	-0.15518072
822	-0.15763052
819	-0.099477912
816	-0.082369478
813	-0.2746988
810	-0.037028112
807	0.11016064
804	0.4373494
801	0.41522088
798	0.47333333
795	0.40016064
792	0.36550201
789	-0.29787149
786	-0.51895582
783	-0.53855422
780	-0.41646586
777	-0.22453815
774	-0.002650602
771	0.35851406
768	0.20959839
765	0.14088353
762	0.27188755
759	0.43321285
756	0.40373494
753	0.48457831
750	0.52514056
747	0.42437751
744	0.094497992
741	0.12317269
738	0.10016064
735	0.077309237
732	0.054457831
729	0.11240964
726	0.14064257
723	0.51839357
720	0.66646586
717	0.53285141
714	0.42899598
711	0.18413655
708	0.002008032
705	0.002570281
702	-0.01686747
699	-0.19566265
696	-0.28682731
693	-0.35783133
690	-0.2002008
687	-0.071004016
684	-0.011084337
681	0.039236948
678	0.13983936
675	0.14008032
672	0.34955823
669	0.1386747
666	0.42855422
663	0.38939759
660	0.43124498
657	0.51297189
654	0.54281124
651	0.5102008
648	0.56771084
645	0.5551004
642	0.54108434
639	0.66779116
636	0.73550201
633	0.66365462
630	0.48060241
627	0.6888755
624	0.73578313
621	0.21240964
618	-0.2897992
615	-0.54080321
612	-0.59088353
609	-0.48983936
